time,emg1,emg2,label
1776066796.2886813,14,76,1
1776066796.2906866,14,78,1
1776066796.2920632,14,76,1
1776066796.2946572,14,76,1
1776066796.296689,14,76,1
1776066796.298088,14,76,1
1776066796.3007708,14,76,1
1776066796.3028147,14,76,1
1776066796.3047616,14,76,1
1776066796.3067067,14,76,1
1776066796.3087611,14,76,1
1776066796.3107042,14,76,1
1776066796.3120885,14,76,1
1776066796.313094,14,76,1
1776066796.316761,14,76,1
1776066796.3187501,14,74,1
1776066796.3201413,14,76,1
1776066796.322761,14,74,1
1776066796.324772,14,78,1
1776066796.3261135,14,78,1
1776066796.327119,14,80,1
1776066796.3307612,14,84,1
1776066796.332761,16,84,1
1776066796.334908,16,82,1
1776066796.335247,16,84,1
1776066796.3387613,16,84,1
1776066796.340776,16,82,1
1776066796.3421383,16,84,1
1776066796.3447745,16,84,1
1776066796.3467774,16,84,1
1776066796.3481386,16,86,1
1776066796.350742,16,86,1
1776066796.3522606,14,84,1
1776066796.3547783,14,84,1
1776066796.356163,14,84,1
1776066796.358785,14,84,1
1776066796.3607788,14,82,1
1776066796.3621883,14,80,1
1776066796.3631933,14,76,1
1776066796.366758,12,76,1
1776066796.3687522,12,74,1
1776066796.3701901,12,76,1
1776066796.3727832,12,74,1
1776066796.374801,14,76,1
1776066796.3762133,14,76,1
1776066796.3772182,14,76,1
1776066796.3808248,14,76,1
1776066796.3822134,14,74,1
1776066796.3843486,16,72,1
1776066796.3879979,16,72,1
1776066796.389194,16,70,1
1776066796.3903656,16,70,1
1776066796.395385,16,70,1
1776066796.395385,16,70,1
1776066796.4675229,16,70,1
1776066796.4675229,16,70,1
1776066796.4675229,18,70,1
1776066796.4819915,18,70,1
1776066796.4819915,18,72,1
1776066796.4932656,18,72,1
1776066796.4949653,16,74,1
1776066796.4949653,16,74,1
1776066796.5039737,16,74,1
1776066796.5080383,16,74,1
1776066796.509484,16,74,1
1776066796.5105684,16,70,1
1776066796.5125785,16,72,1
1776066796.5153549,16,70,1
1776066796.5153549,16,68,1
1776066796.51637,16,68,1
1776066796.519265,16,70,1
1776066796.5298755,16,72,1
1776066796.5298755,16,72,1
1776066796.539137,16,74,1
1776066796.539137,16,74,1
1776066796.5404053,16,74,1
1776066796.5404053,16,74,1
1776066796.5404053,16,74,1
1776066796.552256,16,74,1
1776066796.555773,18,74,1
1776066796.5577812,18,72,1
1776066796.5606935,18,72,1
1776066796.561698,18,70,1
1776066796.561698,18,68,1
1776066796.5652285,18,66,1
1776066796.5703785,16,64,1
1776066796.5743825,16,64,1
1776066796.5761724,16,64,1
1776066796.578179,16,64,1
1776066796.5793898,16,62,1
1776066796.5793898,16,64,1
1776066796.580828,16,62,1
1776066796.580828,16,60,1
1776066796.582072,16,60,1
1776066796.5832365,16,58,1
1776066796.583744,14,58,1
1776066796.5866098,16,58,1
1776066796.587614,14,56,1
1776066796.587614,14,56,1
1776066796.587614,16,56,1
1776066796.5889258,14,56,1
1776066796.5893888,16,56,1
1776066796.5897226,16,58,1
1776066796.5897226,14,60,1
1776066796.5897226,14,58,1
1776066796.5897226,14,60,1
1776066796.5908556,14,62,1
1776066796.5908556,14,62,1
1776066796.5908556,14,62,1
1776066796.5908556,14,62,1
1776066796.5908556,14,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,62,1
1776066796.5908556,12,64,1
1776066796.5908556,10,64,1
1776066796.5908556,10,64,1
1776066796.5908556,10,62,1
1776066796.5908556,10,62,1
1776066796.5949416,10,62,1
1776066796.5949416,10,60,1
1776066796.5949416,10,58,1
1776066796.5949416,10,60,1
1776066796.5949416,10,58,1
1776066796.5959997,12,60,1
1776066796.5959997,10,58,1
1776066796.5959997,10,62,1
1776066796.5959997,10,60,1
1776066796.5959997,10,62,1
1776066796.5959997,10,62,1
1776066796.5970042,10,62,1
1776066796.5970042,10,60,1
1776066796.5970042,10,60,1
1776066796.5970042,10,58,1
1776066796.5970042,10,56,1
1776066796.5970042,10,56,1
1776066796.5980172,10,56,1
1776066796.5980172,10,54,1
1776066796.5980172,10,54,1
1776066796.5980172,10,54,1
1776066796.5980172,10,54,1
1776066796.5980172,10,54,1
1776066796.599023,10,54,1
1776066796.599023,10,54,1
1776066796.599482,10,56,1
1776066796.599482,10,56,1
1776066796.599482,10,58,1
1776066796.599482,10,58,1
1776066796.599482,10,60,1
1776066796.6007175,10,60,1
1776066796.6007175,10,60,1
1776066796.6007175,10,60,1
1776066796.6007175,10,60,1
1776066796.6017349,10,60,1
1776066796.602116,10,62,1
1776066796.602116,10,62,1
1776066796.6071572,10,62,1
